,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
49,synthesis,1223,312,911,0.2551,249,974,0.2036,0.7981,1223,0,1.0,4.9116,180,1043,0.1472,0.7229
50,planning,8,1,7,0.125,0,8,0.0,0.0,8,0,1.0,0.0,0,8,0.0,0.0
51,electrophile,54,32,22,0.5926,30,24,0.5556,0.9375,54,0,1.0,1.8,30,24,0.5556,1.0
52,disconnected,1,1,0,1.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
53,due,4112,65,4047,0.0158,49,4063,0.0119,0.7538,4112,0,1.0,83.9184,35,4077,0.0085,0.7143
54,stability,324,63,261,0.1944,36,288,0.1111,0.5714,324,0,1.0,9.0,30,294,0.0926,0.8333
55,stereobonds,1,1,0,1.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
56,relative,291,31,260,0.1065,23,268,0.079,0.7419,291,0,1.0,12.6522,17,274,0.0584,0.7391
57,stereochemistry,35,13,22,0.3714,12,23,0.3429,0.9231,35,0,1.0,2.9167,12,23,0.3429,1.0
58,synthetic,620,102,518,0.1645,88,532,0.1419,0.8627,620,0,1.0,7.0455,40,580,0.0645,0.4545
59,entails,1,1,0,1.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
60,email,143,11,132,0.0769,6,137,0.042,0.5455,143,0,1.0,23.8333,3,140,0.021,0.5
61,non-covalent,4023,91,3932,0.0226,52,3971,0.0129,0.5714,4023,0,1.0,77.3654,19,4004,0.0047,0.3654
62,around,725,141,584,0.1945,128,597,0.1766,0.9078,725,0,1.0,5.6641,94,631,0.1297,0.7344
63,cysteine,1438,11,1427,0.0076,8,1430,0.0056,0.7273,1438,0,1.0,179.75,5,1433,0.0035,0.625
64,interact,4735,143,4592,0.0302,109,4626,0.023,0.7622,4735,0,1.0,43.4404,53,4682,0.0112,0.4862
65,glutamine,14,2,12,0.1429,2,12,0.1429,1.0,14,0,1.0,7.0,0,14,0.0,0.0
66,met,3423,399,3024,0.1166,264,3159,0.0771,0.6617,3423,0,1.0,12.9659,206,3217,0.0602,0.7803
67,deeper,23,2,21,0.087,2,21,0.087,1.0,23,0,1.0,11.5,0,23,0.0,0.0
68,poke,12,3,9,0.25,3,9,0.25,1.0,12,0,1.0,4.0,0,12,0.0,0.0
69,inspired,504,28,476,0.0556,24,480,0.0476,0.8571,504,0,1.0,21.0,12,492,0.0238,0.5
70,anti-hiv1,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
71,drug,863,93,770,0.1078,82,781,0.095,0.8817,863,0,1.0,10.5244,22,841,0.0255,0.2683
72,temsavir,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
73,structural,601,88,513,0.1464,82,519,0.1364,0.9318,601,0,1.0,7.3293,31,570,0.0516,0.378
74,inform,420,34,386,0.081,27,393,0.0643,0.7941,420,0,1.0,15.5556,14,406,0.0333,0.5185
75,progress,18,2,16,0.1111,2,16,0.1111,1.0,18,0,1.0,9.0,2,16,0.1111,1.0
76,piperazine,365,54,311,0.1479,26,339,0.0712,0.4815,365,0,1.0,14.0385,19,346,0.0521,0.7308
77,series,1359,119,1240,0.0876,97,1262,0.0714,0.8151,1359,0,1.0,14.0103,68,1291,0.05,0.701
78,bicyclic,92,33,59,0.3587,21,71,0.2283,0.6364,92,0,1.0,4.381,19,73,0.2065,0.9048
79,n-cyclic,9,2,7,0.2222,0,9,0.0,0.0,9,0,1.0,0.0,0,9,0.0,0.0
80,maintain,123,24,99,0.1951,11,112,0.0894,0.4583,123,0,1.0,11.1818,9,114,0.0732,0.8182
81,core,4178,122,4056,0.0292,93,4085,0.0223,0.7623,4178,0,1.0,44.9247,29,4149,0.0069,0.3118
82,analogue,909,135,774,0.1485,113,796,0.1243,0.837,909,0,1.0,8.0442,72,837,0.0792,0.6372
83,alkylate,7,2,5,0.2857,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
84,easier,92,9,83,0.0978,3,89,0.0326,0.3333,92,0,1.0,30.6667,2,90,0.0217,0.6667
85,synthesise,159,14,145,0.0881,12,147,0.0755,0.8571,159,0,1.0,13.25,7,152,0.044,0.5833
86,amenable,19,9,10,0.4737,7,12,0.3684,0.7778,19,0,1.0,2.7143,7,12,0.3684,1.0
87,studies,119,6,113,0.0504,4,115,0.0336,0.6667,119,0,1.0,29.75,4,115,0.0336,1.0
88,bromide,22,3,19,0.1364,0,22,0.0,0.0,22,0,1.0,0.0,0,22,0.0,0.0
89,cross-coupling,27,2,25,0.0741,0,27,0.0,0.0,27,0,1.0,0.0,0,27,0.0,0.0
90,attach,256,32,224,0.125,22,234,0.0859,0.6875,256,0,1.0,11.6364,20,236,0.0781,0.9091
91,probe,96,12,84,0.125,6,90,0.0625,0.5,96,0,1.0,16.0,6,90,0.0625,1.0
92,further,647,72,575,0.1113,68,579,0.1051,0.9444,647,0,1.0,9.5147,41,606,0.0634,0.6029
93,changed,63,5,58,0.0794,2,61,0.0317,0.4,63,0,1.0,31.5,1,62,0.0159,0.5
94,making,102,6,96,0.0588,3,99,0.0294,0.5,102,0,1.0,34.0,2,100,0.0196,0.6667
95,planar,51,10,41,0.1961,8,43,0.1569,0.8,51,0,1.0,6.375,8,43,0.1569,1.0
96,conformation,561,89,472,0.1586,62,499,0.1105,0.6966,561,0,1.0,9.0484,44,517,0.0784,0.7097
97,synthesisable,12,2,10,0.1667,2,10,0.1667,1.0,12,0,1.0,6.0,0,12,0.0,0.0
98,a-diazo,12,2,10,0.1667,2,10,0.1667,1.0,12,0,1.0,6.0,0,12,0.0,0.0
99,a-aryl,12,2,10,0.1667,2,10,0.1667,1.0,12,0,1.0,6.0,0,12,0.0,0.0
100,insertion,18,2,16,0.1111,2,16,0.1111,1.0,18,0,1.0,9.0,0,18,0.0,0.0
101,cyclopropanation,12,2,10,0.1667,2,10,0.1667,1.0,12,0,1.0,6.0,0,12,0.0,0.0
102,inspected,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
103,identified,366,25,341,0.0683,22,344,0.0601,0.88,366,0,1.0,16.6364,14,352,0.0383,0.6364
104,active,1511,76,1435,0.0503,60,1451,0.0397,0.7895,1511,0,1.0,25.1833,42,1469,0.0278,0.7
105,site,1483,117,1366,0.0789,91,1392,0.0614,0.7778,1483,0,1.0,16.2967,59,1424,0.0398,0.6484
106,overlapping,97,13,84,0.134,5,92,0.0515,0.3846,97,0,1.0,19.4,4,93,0.0412,0.8
107,bicycle,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
108,centre,3041,16,3025,0.0053,4,3037,0.0013,0.25,3041,0,1.0,760.25,4,3037,0.0013,1.0
109,decided,41,9,32,0.2195,9,32,0.2195,1.0,41,0,1.0,4.5556,9,32,0.2195,1.0
110,thiophene,264,54,210,0.2045,26,238,0.0985,0.4815,264,0,1.0,10.1538,20,244,0.0758,0.7692
111,possibly,87,13,74,0.1494,13,74,0.1494,1.0,87,0,1.0,6.6923,2,85,0.023,0.1538
112,interaction,4475,130,4345,0.0291,103,4372,0.023,0.7923,4475,0,1.0,43.4466,52,4423,0.0116,0.5049
113,cys145,186,46,140,0.2473,33,153,0.1774,0.7174,186,0,1.0,5.6364,22,164,0.1183,0.6667
114,shortlisted,31,1,30,0.0323,1,30,0.0323,1.0,31,0,1.0,31.0,1,30,0.0323,1.0
115,pharmacophore,3334,109,3225,0.0327,69,3265,0.0207,0.633,3334,0,1.0,48.3188,34,3300,0.0102,0.4928
116,pyrimidine,182,21,161,0.1154,17,165,0.0934,0.8095,182,0,1.0,10.7059,17,165,0.0934,1.0
117,imidazole,80,16,64,0.2,15,65,0.1875,0.9375,80,0,1.0,5.3333,15,65,0.1875,1.0
118,nitrogen,612,56,556,0.0915,40,572,0.0654,0.7143,612,0,1.0,15.3,28,584,0.0458,0.7
119,non-aromatic,14,0,14,0.0,0,14,0.0,0.0,14,0,1.0,0.0,0,14,0.0,0.0
120,avoid,80,17,63,0.2125,10,70,0.125,0.5882,80,0,1.0,8.0,5,75,0.0625,0.5
121,alternative,224,48,176,0.2143,35,189,0.1562,0.7292,224,0,1.0,6.4,24,200,0.1071,0.6857
122,broken,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
123,expose,65,7,58,0.1077,4,61,0.0615,0.5714,65,0,1.0,16.25,3,62,0.0462,0.75
124,s-h,8,0,8,0.0,0,8,0.0,0.0,8,0,1.0,0.0,0,8,0.0,0.0
125,disulfide,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
126,bridge,989,6,983,0.0061,5,984,0.0051,0.8333,989,0,1.0,197.8,1,988,0.001,0.2
127,included,527,68,459,0.129,65,462,0.1233,0.9559,527,0,1.0,8.1077,51,476,0.0968,0.7846
128,preferable,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
129,bound,338,45,293,0.1331,33,305,0.0976,0.7333,338,0,1.0,10.2424,14,324,0.0414,0.4242
130,putative,24,11,13,0.4583,10,14,0.4167,0.9091,24,0,1.0,2.4,2,22,0.0833,0.2
131,rediues,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
132,grid,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
133,ftmap,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
134,calulations,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
135,carried,58,3,55,0.0517,3,55,0.0517,1.0,58,0,1.0,19.3333,2,56,0.0345,0.6667
136,within,107,25,82,0.2336,24,83,0.2243,0.96,107,0,1.0,4.4583,16,91,0.1495,0.6667
137,chemscore,2913,0,2913,0.0,0,2913,0.0,0.0,2913,0,1.0,0.0,0,2913,0.0,0.0
138,sscoring,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
139,function,3614,82,3532,0.0227,63,3551,0.0174,0.7683,3614,0,1.0,57.3651,10,3604,0.0028,0.1587
140,although,264,12,252,0.0455,11,253,0.0417,0.9167,264,0,1.0,24.0,8,256,0.0303,0.7273
141,exacly,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
142,observed,3101,30,3071,0.0097,26,3075,0.0084,0.8667,3101,0,1.0,119.2692,12,3089,0.0039,0.4615
143,mantained,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
144,presence,32,6,26,0.1875,6,26,0.1875,1.0,32,0,1.0,5.3333,0,32,0.0,0.0
145,contiguous,6,0,6,0.0,0,6,0.0,0.0,6,0,1.0,0.0,0,6,0.0,0.0
146,however,339,11,328,0.0324,9,330,0.0265,0.8182,339,0,1.0,37.6667,4,335,0.0118,0.4444
147,racemic,43,9,34,0.2093,7,36,0.1628,0.7778,43,0,1.0,6.1429,7,36,0.1628,1.0
148,preparation,130,3,127,0.0231,0,130,0.0,0.0,130,0,1.0,0.0,0,130,0.0,0.0
149,propose,288,38,250,0.1319,26,262,0.0903,0.6842,288,0,1.0,11.0769,15,273,0.0521,0.5769
150,functionalization,27,7,20,0.2593,7,20,0.2593,1.0,27,0,1.0,3.8571,6,21,0.2222,0.8571
151,benzene,136,19,117,0.1397,16,120,0.1176,0.8421,136,0,1.0,8.5,14,122,0.1029,0.875
152,halogen,147,10,137,0.068,9,138,0.0612,0.9,147,0,1.0,16.3333,8,139,0.0544,0.8889
153,occupy,101,7,94,0.0693,6,95,0.0594,0.8571,101,0,1.0,16.8333,4,97,0.0396,0.6667
154,m165,54,3,51,0.0556,3,51,0.0556,1.0,54,0,1.0,18.0,2,52,0.037,0.6667
155,h41,34,3,31,0.0882,3,31,0.0882,1.0,34,0,1.0,11.3333,2,32,0.0588,0.6667
156,f181,17,3,14,0.1765,3,14,0.1765,1.0,17,0,1.0,5.6667,2,15,0.1176,0.6667
157,aim,343,47,296,0.137,38,305,0.1108,0.8085,343,0,1.0,9.0263,32,311,0.0933,0.8421
158,adjacent,80,22,58,0.275,19,61,0.2375,0.8636,80,0,1.0,4.2105,17,63,0.2125,0.8947
159,alkylation,129,9,120,0.0698,5,124,0.0388,0.5556,129,0,1.0,25.8,2,127,0.0155,0.4
160,medchem,254,84,170,0.3307,41,213,0.1614,0.4881,254,0,1.0,6.1951,36,218,0.1417,0.878
161,morpholine,55,12,43,0.2182,9,46,0.1636,0.75,55,0,1.0,6.1111,4,51,0.0727,0.4444
162,maestro,48,4,44,0.0833,4,44,0.0833,1.0,48,0,1.0,12.0,2,46,0.0417,0.5
163,minimised,65,13,52,0.2,8,57,0.1231,0.6154,65,0,1.0,8.125,2,63,0.0308,0.25
164,reduce,377,59,318,0.1565,33,344,0.0875,0.5593,377,0,1.0,11.4242,30,347,0.0796,0.9091
165,steric,176,36,140,0.2045,26,150,0.1477,0.7222,176,0,1.0,6.7692,13,163,0.0739,0.5
166,strategy,70,16,54,0.2286,6,64,0.0857,0.375,70,0,1.0,11.6667,2,68,0.0286,0.3333
167,described,147,13,134,0.0884,13,134,0.0884,1.0,147,0,1.0,11.3077,6,141,0.0408,0.4615
168,simone,17,3,14,0.1765,3,14,0.1765,1.0,17,0,1.0,5.6667,2,15,0.1176,0.6667
169,chemical,738,122,616,0.1653,98,640,0.1328,0.8033,738,0,1.0,7.5306,50,688,0.0678,0.5102
170,doi,562,65,497,0.1157,55,507,0.0979,0.8462,562,0,1.0,10.2182,45,517,0.0801,0.8182
171,c8sc03831g,17,3,14,0.1765,3,14,0.1765,1.0,17,0,1.0,5.6667,2,15,0.1176,0.6667
172,chemistry,760,140,620,0.1842,109,651,0.1434,0.7786,760,0,1.0,6.9725,87,673,0.1145,0.7982
173,helpful,95,16,79,0.1684,15,80,0.1579,0.9375,95,0,1.0,6.3333,6,89,0.0632,0.4
174,devise,21,3,18,0.1429,3,18,0.1429,1.0,21,0,1.0,7.0,2,19,0.0952,0.6667
175,inside,6,1,5,0.1667,1,5,0.1667,1.0,6,0,1.0,6.0,0,6,0.0,0.0
176,potential,1168,197,971,0.1687,135,1033,0.1156,0.6853,1168,0,1.0,8.6519,93,1075,0.0796,0.6889
177,rigid,75,4,71,0.0533,2,73,0.0267,0.5,75,0,1.0,37.5,1,74,0.0133,0.5
178,hydrophilic,32,3,29,0.0938,2,30,0.0625,0.6667,32,0,1.0,16.0,1,31,0.0312,0.5
179,solvent,140,15,125,0.1071,11,129,0.0786,0.7333,140,0,1.0,12.7273,10,130,0.0714,0.9091
180,triazole,214,70,144,0.3271,55,159,0.257,0.7857,214,0,1.0,3.8909,50,164,0.2336,0.9091
181,moiety,225,6,219,0.0267,5,220,0.0222,0.8333,225,0,1.0,45.0,0,225,0.0,0.0
182,incorporation,47,18,29,0.383,17,30,0.3617,0.9444,47,0,1.0,2.7647,2,45,0.0426,0.1176
183,cheap,23,2,21,0.087,2,21,0.087,1.0,23,0,1.0,11.5,0,23,0.0,0.0
184,functional,402,46,356,0.1144,42,360,0.1045,0.913,402,0,1.0,9.5714,9,393,0.0224,0.2143
185,install,7,2,5,0.2857,1,6,0.1429,0.5,7,0,1.0,7.0,0,7,0.0,0.0
186,inhibitor,1793,69,1724,0.0385,59,1734,0.0329,0.8551,1793,0,1.0,30.3898,29,1764,0.0162,0.4915
187,parallel,187,70,117,0.3743,64,123,0.3422,0.9143,187,0,1.0,2.9219,63,124,0.3369,0.9844
188,fine-tuning,3,1,2,0.3333,1,2,0.3333,1.0,3,0,1.0,3.0,0,3,0.0,0.0
189,various,178,9,169,0.0506,8,170,0.0449,0.8889,178,0,1.0,22.25,7,171,0.0393,0.875
190,couple,90,27,63,0.3,23,67,0.2556,0.8519,90,0,1.0,3.913,17,73,0.1889,0.7391
191,alkyne,29,8,21,0.2759,8,21,0.2759,1.0,29,0,1.0,3.625,7,22,0.2414,0.875
192,gln189,123,28,95,0.2276,22,101,0.1789,0.7857,123,0,1.0,5.5909,18,105,0.1463,0.8182
193,straightforward,40,23,17,0.575,19,21,0.475,0.8261,40,0,1.0,2.1053,11,29,0.275,0.5789
194,2-3,72,8,64,0.1111,7,65,0.0972,0.875,72,0,1.0,10.2857,6,66,0.0833,0.8571
195,dependent,161,7,154,0.0435,4,157,0.0248,0.5714,161,0,1.0,40.25,0,161,0.0,0.0
196,functionality,28,1,27,0.0357,1,27,0.0357,1.0,28,0,1.0,28.0,0,28,0.0,0.0
197,already,258,23,235,0.0891,18,240,0.0698,0.7826,258,0,1.0,14.3333,10,248,0.0388,0.5556
198,cyclization,22,2,20,0.0909,1,21,0.0455,0.5,22,0,1.0,22.0,1,21,0.0455,1.0
199,reductive,114,65,49,0.5702,9,105,0.0789,0.1385,114,0,1.0,12.6667,8,106,0.0702,0.8889
200,amination,115,65,50,0.5652,9,106,0.0783,0.1385,115,0,1.0,12.7778,8,107,0.0696,0.8889
201,dihydroquinolinone,4,1,3,0.25,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
202,produced,61,1,60,0.0164,1,60,0.0164,1.0,61,0,1.0,61.0,0,61,0.0,0.0
203,x0104-x0387,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
204,x104-x0072,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
205,7-position,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
206,indole,139,17,122,0.1223,10,129,0.0719,0.5882,139,0,1.0,13.9,4,135,0.0288,0.4
207,chosen,388,72,316,0.1856,58,330,0.1495,0.8056,388,0,1.0,6.6897,42,346,0.1082,0.7241
208,hydrophobic,214,26,188,0.1215,25,189,0.1168,0.9615,214,0,1.0,8.56,15,199,0.0701,0.6
209,protease,1881,77,1804,0.0409,65,1816,0.0346,0.8442,1881,0,1.0,28.9385,32,1849,0.017,0.4923
210,therefore,139,27,112,0.1942,21,118,0.1511,0.7778,139,0,1.0,6.619,12,127,0.0863,0.5714
211,nearby,65,0,65,0.0,0,65,0.0,0.0,65,0,1.0,0.0,0,65,0.0,0.0
212,subsite,111,8,103,0.0721,8,103,0.0721,1.0,111,0,1.0,13.875,7,104,0.0631,0.875
213,easily,179,12,167,0.067,12,167,0.067,1.0,179,0,1.0,14.9167,7,172,0.0391,0.5833
214,strain,362,89,273,0.2459,82,280,0.2265,0.9213,362,0,1.0,4.4146,28,334,0.0773,0.3415
215,molecular,846,46,800,0.0544,38,808,0.0449,0.8261,846,0,1.0,22.2632,15,831,0.0177,0.3947
216,supplied,17,0,17,0.0,0,17,0.0,0.0,17,0,1.0,0.0,0,17,0.0,0.0
217,pdb,1733,81,1652,0.0467,61,1672,0.0352,0.7531,1733,0,1.0,28.4098,53,1680,0.0306,0.8689
218,simply,247,3,244,0.0121,0,247,0.0,0.0,247,0,1.0,0.0,0,247,0.0,0.0
219,superposition,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
220,coordinates,771,27,744,0.035,26,745,0.0337,0.963,771,0,1.0,29.6538,21,750,0.0272,0.8077
221,request,186,2,184,0.0108,0,186,0.0,0.0,186,0,1.0,0.0,0,186,0.0,0.0
222,structure-guided,48,6,42,0.125,4,44,0.0833,0.6667,48,0,1.0,12.0,1,47,0.0208,0.25
223,optimisation,74,6,68,0.0811,4,70,0.0541,0.6667,74,0,1.0,18.5,4,70,0.0541,1.0
224,rationale,204,27,177,0.1324,26,178,0.1275,0.963,204,0,1.0,7.8462,17,187,0.0833,0.6538
225,ayz,12,0,12,0.0,0,12,0.0,0.0,12,0,1.0,0.0,0,12,0.0,0.0
226,iterative,42,6,36,0.1429,6,36,0.1429,1.0,42,0,1.0,7.0,0,42,0.0,0.0
227,software,4301,22,4279,0.0051,17,4284,0.004,0.7727,4301,0,1.0,253.0,7,4294,0.0016,0.4118
228,seesar,769,18,751,0.0234,6,763,0.0078,0.3333,769,0,1.0,128.1667,3,766,0.0039,0.5
229,optimise,170,27,143,0.1588,27,143,0.1588,1.0,170,0,1.0,6.2963,25,145,0.1471,0.9259
230,affinity,747,55,692,0.0736,42,705,0.0562,0.7636,747,0,1.0,17.7857,22,725,0.0295,0.5238
231,convert,44,0,44,0.0,0,44,0.0,0.0,44,0,1.0,0.0,0,44,0.0,0.0
232,into,4319,139,4180,0.0322,112,4207,0.0259,0.8058,4319,0,1.0,38.5625,53,4266,0.0123,0.4732
233,covalent,5053,229,4824,0.0453,155,4898,0.0307,0.6769,5053,0,1.0,32.6,76,4977,0.015,0.4903
234,compound,4567,1005,3562,0.2201,846,3721,0.1852,0.8418,4567,0,1.0,5.3983,448,4119,0.0981,0.5296
235,thiol,90,2,88,0.0222,1,89,0.0111,0.5,90,0,1.0,90.0,1,89,0.0111,1.0
236,mid,3543,492,3051,0.1389,364,3179,0.1027,0.7398,3543,0,1.0,9.7335,236,3307,0.0666,0.6484
237,growth,61,10,51,0.1639,7,54,0.1148,0.7,61,0,1.0,8.7143,4,57,0.0656,0.5714
238,adapted,28,1,27,0.0357,1,27,0.0357,1.0,28,0,1.0,28.0,0,28,0.0,0.0
239,yesterday,9,0,9,0.0,0,9,0.0,0.0,9,0,1.0,0.0,0,9,0.0,0.0
240,submission,1803,287,1516,0.1592,238,1565,0.132,0.8293,1803,0,1.0,7.5756,82,1721,0.0455,0.3445
241,swapped,27,0,27,0.0,0,27,0.0,0.0,27,0,1.0,0.0,0,27,0.0,0.0
