,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
47,derivatisation,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
48,amide,2168,273.0,1895.0,0.1259,165.0,2003.0,0.0761,0.6044,36.0,2132.0,0.0166,0.2182,143.0,2025.0,0.066,0.8667
49,sar,1412,214.0,1198.0,0.1516,177.0,1235.0,0.1254,0.8271,24.0,1388.0,0.017,0.1356,177.0,1235.0,0.1254,1.0
50,aliphatic,72,1.0,71.0,0.0139,1.0,71.0,0.0139,1.0,0.0,72.0,0.0,0.0,1.0,71.0,0.0139,1.0
51,polar,138,6.0,132.0,0.0435,3.0,135.0,0.0217,0.5,0.0,138.0,0.0,0.0,3.0,135.0,0.0217,1.0
52,phenyl,240,74.0,166.0,0.3083,31.0,209.0,0.1292,0.4189,3.0,237.0,0.0125,0.0968,31.0,209.0,0.1292,1.0
53,benzyl,61,3.0,58.0,0.0492,3.0,58.0,0.0492,1.0,1.0,60.0,0.0164,0.3333,3.0,58.0,0.0492,1.0
54,molecules,4288,189.0,4099.0,0.0441,156.0,4132.0,0.0364,0.8254,27.0,4261.0,0.0063,0.1731,155.0,4133.0,0.0361,0.9936
55,superimposing,79,43.0,36.0,0.5443,28.0,51.0,0.3544,0.6512,8.0,71.0,0.1013,0.2857,28.0,51.0,0.3544,1.0
56,different,663,98.0,565.0,0.1478,79.0,584.0,0.1192,0.8061,11.0,652.0,0.0166,0.1392,79.0,584.0,0.1192,1.0
57,crystal,4100,159.0,3941.0,0.0388,112.0,3988.0,0.0273,0.7044,19.0,4081.0,0.0046,0.1696,112.0,3988.0,0.0273,1.0
58,structures,3570,163.0,3407.0,0.0457,116.0,3454.0,0.0325,0.7117,19.0,3551.0,0.0053,0.1638,115.0,3455.0,0.0322,0.9914
59,reactions,162,52.0,110.0,0.321,35.0,127.0,0.216,0.6731,7.0,155.0,0.0432,0.2,35.0,127.0,0.216,1.0
60,formation,1110,120.0,990.0,0.1081,75.0,1035.0,0.0676,0.625,13.0,1097.0,0.0117,0.1733,75.0,1035.0,0.0676,1.0
61,coupling,130,61.0,69.0,0.4692,38.0,92.0,0.2923,0.623,8.0,122.0,0.0615,0.2105,38.0,92.0,0.2923,1.0
62,readily,180,44.0,136.0,0.2444,26.0,154.0,0.1444,0.5909,7.0,173.0,0.0389,0.2692,26.0,154.0,0.1444,1.0
63,available,2036,149.0,1887.0,0.0732,103.0,1933.0,0.0506,0.6913,9.0,2027.0,0.0044,0.0874,103.0,1933.0,0.0506,1.0
64,conception,68,39.0,29.0,0.5735,24.0,44.0,0.3529,0.6154,7.0,61.0,0.1029,0.2917,24.0,44.0,0.3529,1.0
65,x0107,232,38.0,194.0,0.1638,23.0,209.0,0.0991,0.6053,10.0,222.0,0.0431,0.4348,23.0,209.0,0.0991,1.0
66,x0748,28,25.0,3.0,0.8929,11.0,17.0,0.3929,0.44,5.0,23.0,0.1786,0.4545,11.0,17.0,0.3929,1.0
67,x1382,80,50.0,30.0,0.625,33.0,47.0,0.4125,0.66,7.0,73.0,0.0875,0.2121,33.0,47.0,0.4125,1.0
68,x0104,314,49.0,265.0,0.1561,26.0,288.0,0.0828,0.5306,3.0,311.0,0.0096,0.1154,26.0,288.0,0.0828,1.0
69,x0161,136,39.0,97.0,0.2868,17.0,119.0,0.125,0.4359,0.0,136.0,0.0,0.0,17.0,119.0,0.125,1.0
70,x0195,184,59.0,125.0,0.3207,25.0,159.0,0.1359,0.4237,2.0,182.0,0.0109,0.08,25.0,159.0,0.1359,1.0
71,analysis,209,49.0,160.0,0.2344,45.0,164.0,0.2153,0.9184,10.0,199.0,0.0478,0.2222,45.0,164.0,0.2153,1.0
72,x1380,11,10.0,1.0,0.9091,1.0,10.0,0.0909,0.1,0.0,11.0,0.0,0.0,1.0,10.0,0.0909,1.0
73,pymol,30,2.0,28.0,0.0667,1.0,29.0,0.0333,0.5,0.0,30.0,0.0,0.0,1.0,29.0,0.0333,1.0
74,central,55,2.0,53.0,0.0364,1.0,54.0,0.0182,0.5,0.0,55.0,0.0,0.0,1.0,54.0,0.0182,1.0
75,piperidine,284,39.0,245.0,0.1373,24.0,260.0,0.0845,0.6154,5.0,279.0,0.0176,0.2083,3.0,281.0,0.0106,0.125
76,enable,96,13.0,83.0,0.1354,10.0,86.0,0.1042,0.7692,2.0,94.0,0.0208,0.2,10.0,86.0,0.1042,1.0
77,targeting,220,18.0,202.0,0.0818,15.0,205.0,0.0682,0.8333,0.0,220.0,0.0,0.0,15.0,205.0,0.0682,1.0
78,pocket,923,122.0,801.0,0.1322,85.0,838.0,0.0921,0.6967,8.0,915.0,0.0087,0.0941,85.0,838.0,0.0921,1.0
79,2-phenylethyl,20,9.0,11.0,0.45,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
80,non,4039,95.0,3944.0,0.0235,61.0,3978.0,0.0151,0.6421,3.0,4036.0,0.0007,0.0492,61.0,3978.0,0.0151,1.0
81,covalent,4532,180.0,4352.0,0.0397,125.0,4407.0,0.0276,0.6944,23.0,4509.0,0.0051,0.184,124.0,4408.0,0.0274,0.992
82,around,242,92.0,150.0,0.3802,68.0,174.0,0.281,0.7391,6.0,236.0,0.0248,0.0882,68.0,174.0,0.281,1.0
83,cysteine,1384,7.0,1377.0,0.0051,4.0,1380.0,0.0029,0.5714,0.0,1384.0,0.0,0.0,4.0,1380.0,0.0029,1.0
84,interact,4474,115.0,4359.0,0.0257,82.0,4392.0,0.0183,0.713,20.0,4454.0,0.0045,0.2439,81.0,4393.0,0.0181,0.9878
85,glutamine,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,0.0,14.0,0.0,0.0,2.0,12.0,0.1429,1.0
86,met,2377,224.0,2153.0,0.0942,131.0,2246.0,0.0551,0.5848,14.0,2363.0,0.0059,0.1069,131.0,2246.0,0.0551,1.0
87,deeper,11,2.0,9.0,0.1818,2.0,9.0,0.1818,1.0,0.0,11.0,0.0,0.0,2.0,9.0,0.1818,1.0
88,x0692,65,21.0,44.0,0.3231,5.0,60.0,0.0769,0.2381,1.0,64.0,0.0154,0.2,5.0,60.0,0.0769,1.0
89,poke,12,3.0,9.0,0.25,3.0,9.0,0.25,1.0,0.0,12.0,0.0,0.0,3.0,9.0,0.25,1.0
90,inspired,410,19.0,391.0,0.0463,17.0,393.0,0.0415,0.8947,5.0,405.0,0.0122,0.2941,17.0,393.0,0.0415,1.0
91,anti-hiv1,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
92,drug,723,62.0,661.0,0.0858,54.0,669.0,0.0747,0.871,1.0,722.0,0.0014,0.0185,54.0,669.0,0.0747,1.0
93,temsavir,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
94,structural,278,70.0,208.0,0.2518,58.0,220.0,0.2086,0.8286,7.0,271.0,0.0252,0.1207,58.0,220.0,0.2086,1.0
95,motifs,162,12.0,150.0,0.0741,10.0,152.0,0.0617,0.8333,4.0,158.0,0.0247,0.4,10.0,152.0,0.0617,1.0
96,piperazine,303,33.0,270.0,0.1089,15.0,288.0,0.0495,0.4545,4.0,299.0,0.0132,0.2667,15.0,288.0,0.0495,1.0
97,series,949,81.0,868.0,0.0854,59.0,890.0,0.0622,0.7284,7.0,942.0,0.0074,0.1186,38.0,911.0,0.04,0.6441
98,combined,102,6.0,96.0,0.0588,3.0,99.0,0.0294,0.5,0.0,102.0,0.0,0.0,3.0,99.0,0.0294,1.0
99,bicyclic,73,21.0,52.0,0.2877,0.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0
100,scaffolds,334,50.0,284.0,0.1497,40.0,294.0,0.1198,0.8,0.0,334.0,0.0,0.0,40.0,294.0,0.1198,1.0
101,saturated,52,4.0,48.0,0.0769,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0
102,n-cyclic,5,2.0,3.0,0.4,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
103,maintain,62,7.0,55.0,0.1129,5.0,57.0,0.0806,0.7143,0.0,62.0,0.0,0.0,5.0,57.0,0.0806,1.0
104,core,4033,132.0,3901.0,0.0327,107.0,3926.0,0.0265,0.8106,8.0,4025.0,0.002,0.0748,107.0,3926.0,0.0265,1.0
105,analogue,421,77.0,344.0,0.1829,62.0,359.0,0.1473,0.8052,13.0,408.0,0.0309,0.2097,62.0,359.0,0.1473,1.0
106,synthesis,416,94.0,322.0,0.226,58.0,358.0,0.1394,0.617,14.0,402.0,0.0337,0.2414,58.0,358.0,0.1394,1.0
107,alkylate,7,2.0,5.0,0.2857,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
108,easier,32,5.0,27.0,0.1562,1.0,31.0,0.0312,0.2,0.0,32.0,0.0,0.0,1.0,31.0,0.0312,1.0
109,synthesise,59,9.0,50.0,0.1525,6.0,53.0,0.1017,0.6667,2.0,57.0,0.0339,0.3333,6.0,53.0,0.1017,1.0
110,amenable,6,3.0,3.0,0.5,1.0,5.0,0.1667,0.3333,1.0,5.0,0.1667,1.0,1.0,5.0,0.1667,1.0
111,studies,65,2.0,63.0,0.0308,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,0.0
112,attached,153,20.0,133.0,0.1307,18.0,135.0,0.1176,0.9,0.0,153.0,0.0,0.0,18.0,135.0,0.1176,1.0
113,bromide,13,2.0,11.0,0.1538,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
114,cross-coupling,27,2.0,25.0,0.0741,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
115,attach,187,29.0,158.0,0.1551,19.0,168.0,0.1016,0.6552,0.0,187.0,0.0,0.0,19.0,168.0,0.1016,1.0
116,probe,96,12.0,84.0,0.125,6.0,90.0,0.0625,0.5,0.0,96.0,0.0,0.0,6.0,90.0,0.0625,1.0
117,further,274,43.0,231.0,0.1569,39.0,235.0,0.1423,0.907,1.0,273.0,0.0036,0.0256,39.0,235.0,0.1423,1.0
118,x0678_0,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
119,merged,109,31.0,78.0,0.2844,11.0,98.0,0.1009,0.3548,2.0,107.0,0.0183,0.1818,11.0,98.0,0.1009,1.0
120,x0387_0,13,2.0,11.0,0.1538,2.0,11.0,0.1538,1.0,1.0,12.0,0.0769,0.5,2.0,11.0,0.1538,1.0
121,x0072_0,19,3.0,16.0,0.1579,3.0,16.0,0.1579,1.0,1.0,18.0,0.0526,0.3333,3.0,16.0,0.1579,1.0
122,synthesisable,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
123,a-diazo,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
124,a-aryl,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
125,amides,1265,90.0,1175.0,0.0711,43.0,1222.0,0.034,0.4778,6.0,1259.0,0.0047,0.1395,43.0,1222.0,0.034,1.0
126,insertion,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
127,cyclopropanation,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,1.0,11.0,0.0833,0.5,2.0,10.0,0.1667,1.0
128,inspected,7,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
129,non-covalent,3712,71.0,3641.0,0.0191,46.0,3666.0,0.0124,0.6479,2.0,3710.0,0.0005,0.0435,46.0,3666.0,0.0124,1.0
130,identified,183,25.0,158.0,0.1366,23.0,160.0,0.1257,0.92,6.0,177.0,0.0328,0.2609,23.0,160.0,0.1257,1.0
131,sub-pockets,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
132,active,1415,75.0,1340.0,0.053,58.0,1357.0,0.041,0.7733,3.0,1412.0,0.0021,0.0517,58.0,1357.0,0.041,1.0
133,site,1391,106.0,1285.0,0.0762,95.0,1296.0,0.0683,0.8962,8.0,1383.0,0.0058,0.0842,95.0,1296.0,0.0683,1.0
134,overlapping,97,13.0,84.0,0.134,5.0,92.0,0.0515,0.3846,0.0,97.0,0.0,0.0,5.0,92.0,0.0515,1.0
135,bicycle,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
136,centre,2966,23.0,2943.0,0.0078,20.0,2946.0,0.0067,0.8696,0.0,2966.0,0.0,0.0,20.0,2946.0,0.0067,1.0
137,decided,40,9.0,31.0,0.225,9.0,31.0,0.225,1.0,0.0,40.0,0.0,0.0,9.0,31.0,0.225,1.0
138,thiophene,190,43.0,147.0,0.2263,18.0,172.0,0.0947,0.4186,4.0,186.0,0.0211,0.2222,18.0,172.0,0.0947,1.0
139,possibly,54,1.0,53.0,0.0185,1.0,53.0,0.0185,1.0,0.0,54.0,0.0,0.0,1.0,53.0,0.0185,1.0
140,important,159,9.0,150.0,0.0566,7.0,152.0,0.044,0.7778,0.0,159.0,0.0,0.0,7.0,152.0,0.044,1.0
141,interaction,4290,104.0,4186.0,0.0242,77.0,4213.0,0.0179,0.7404,19.0,4271.0,0.0044,0.2468,76.0,4214.0,0.0177,0.987
142,cys145,181,46.0,135.0,0.2541,32.0,149.0,0.1768,0.6957,4.0,177.0,0.0221,0.125,32.0,149.0,0.1768,1.0
143,x072,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
144,x195,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
145,shortlisted,31,1.0,30.0,0.0323,1.0,30.0,0.0323,1.0,0.0,31.0,0.0,0.0,1.0,30.0,0.0323,1.0
146,tweaks,7,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
147,due,4023,63.0,3960.0,0.0157,49.0,3974.0,0.0122,0.7778,12.0,4011.0,0.003,0.2449,48.0,3975.0,0.0119,0.9796
148,pharmacophore,3120,70.0,3050.0,0.0224,57.0,3063.0,0.0183,0.8143,4.0,3116.0,0.0013,0.0702,57.0,3063.0,0.0183,1.0
149,pyrimidine,174,18.0,156.0,0.1034,17.0,157.0,0.0977,0.9444,0.0,174.0,0.0,0.0,17.0,157.0,0.0977,1.0
150,imidazole,79,16.0,63.0,0.2025,15.0,64.0,0.1899,0.9375,0.0,79.0,0.0,0.0,15.0,64.0,0.1899,1.0
151,removed,54,5.0,49.0,0.0926,5.0,49.0,0.0926,1.0,2.0,52.0,0.037,0.4,5.0,49.0,0.0926,1.0
152,nitrogen,277,27.0,250.0,0.0975,20.0,257.0,0.0722,0.7407,1.0,276.0,0.0036,0.05,20.0,257.0,0.0722,1.0
153,non-aromatic,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
154,avoid,27,1.0,26.0,0.037,1.0,26.0,0.037,1.0,0.0,27.0,0.0,0.0,1.0,26.0,0.037,1.0
155,alternative,104,37.0,67.0,0.3558,11.0,93.0,0.1058,0.2973,0.0,104.0,0.0,0.0,11.0,93.0,0.1058,1.0
156,broken,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
157,expose,33,7.0,26.0,0.2121,3.0,30.0,0.0909,0.4286,0.0,33.0,0.0,0.0,3.0,30.0,0.0909,1.0
158,s-h,8,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
159,disulfide,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
160,bridge,983,6.0,977.0,0.0061,6.0,977.0,0.0061,1.0,0.0,983.0,0.0,0.0,6.0,977.0,0.0061,1.0
161,included,164,26.0,138.0,0.1585,25.0,139.0,0.1524,0.9615,7.0,157.0,0.0427,0.28,25.0,139.0,0.1524,1.0
162,combinations,252,8.0,244.0,0.0317,4.0,248.0,0.0159,0.5,0.0,252.0,0.0,0.0,4.0,248.0,0.0159,1.0
163,changed,56,3.0,53.0,0.0536,2.0,54.0,0.0357,0.6667,0.0,56.0,0.0,0.0,2.0,54.0,0.0357,1.0
164,preferable,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
165,bound,282,35.0,247.0,0.1241,25.0,257.0,0.0887,0.7143,7.0,275.0,0.0248,0.28,25.0,257.0,0.0887,1.0
166,putative,24,11.0,13.0,0.4583,10.0,14.0,0.4167,0.9091,0.0,24.0,0.0,0.0,10.0,14.0,0.4167,1.0
167,rediues,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
168,grid,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
169,ftmap,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
170,calulations,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
171,carried,32,1.0,31.0,0.0312,1.0,31.0,0.0312,1.0,0.0,32.0,0.0,0.0,1.0,31.0,0.0312,1.0
172,contacts,28,1.0,27.0,0.0357,1.0,27.0,0.0357,1.0,0.0,28.0,0.0,0.0,1.0,27.0,0.0357,1.0
173,within,75,14.0,61.0,0.1867,13.0,62.0,0.1733,0.9286,0.0,75.0,0.0,0.0,13.0,62.0,0.1733,1.0
174,ligands,144,4.0,140.0,0.0278,1.0,143.0,0.0069,0.25,0.0,144.0,0.0,0.0,1.0,143.0,0.0069,1.0
175,built,79,11.0,68.0,0.1392,3.0,76.0,0.038,0.2727,2.0,77.0,0.0253,0.6667,3.0,76.0,0.038,1.0
176,docked,3601,78.0,3523.0,0.0217,43.0,3558.0,0.0119,0.5513,17.0,3584.0,0.0047,0.3953,42.0,3559.0,0.0117,0.9767
177,chemscore,2913,0.0,2913.0,0.0,0.0,2913.0,0.0,0.0,0.0,2913.0,0.0,0.0,0.0,2913.0,0.0,0.0
178,sscoring,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
179,function,3546,76.0,3470.0,0.0214,57.0,3489.0,0.0161,0.75,8.0,3538.0,0.0023,0.1404,57.0,3489.0,0.0161,1.0
180,although,45,3.0,42.0,0.0667,3.0,42.0,0.0667,1.0,1.0,44.0,0.0222,0.3333,3.0,42.0,0.0667,1.0
181,exacly,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
182,interactions,3894,46.0,3848.0,0.0118,33.0,3861.0,0.0085,0.7174,15.0,3879.0,0.0039,0.4545,32.0,3862.0,0.0082,0.9697
183,observed,3035,21.0,3014.0,0.0069,18.0,3017.0,0.0059,0.8571,0.0,3035.0,0.0,0.0,18.0,3017.0,0.0059,1.0
184,experimentally,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
185,mantained,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
186,compounds,2289,377.0,1912.0,0.1647,290.0,1999.0,0.1267,0.7692,24.0,2265.0,0.0105,0.0828,290.0,1999.0,0.1267,1.0
187,x_0434,142,20.0,122.0,0.1408,19.0,123.0,0.1338,0.95,2.0,140.0,0.0141,0.1053,19.0,123.0,0.1338,1.0
