,N submissions (early wave),N made (early wave),N assayed (early wave),N crystallised (early wave),Mdn shipment date (early wave),Mdn N words (early wave),Gmean IC50 (early wave),Min IC50 (early wave),made-over-submitted % (early wave),crystal-over-made % (early wave),N IC50 ≤ 50 µM (early wave),N IC50 ≤ 20 µM (early wave),N IC50 ≤ 1 µM (early wave),N IC50 ≤ 0.1 µM (early wave),sub50-over-assayed % (early wave)
Ho Leung Ng,12,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
K Takahashi,12,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Benzies,12,0,0,0,,45,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Harriet StanwayGordon,12,0,0,0,,39,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafat Kabir,12,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Olexandr Isayev,11,0,0,0,,52,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ravikumar Ramlu Vidule,11,0,0,0,,35,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yun Lyna Luo,11,0,0,0,,963,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
MElizabeth Sobhia,10,0,0,0,,81,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Lynda University of Southampton,10,0,0,0,,262,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mangala Phadte,10,0,0,0,,71,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Keith Andrews,10,0,0,0,,77,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vamsi Krishna Gurram,10,0,0,0,,260,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Davide Cazzola,10,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Emiel Dobbelaar,9,0,0,0,,562,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Volkamer Lab,9,0,0,0,,166,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jokin Carrillo Arregui,9,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Selena Mark,9,0,0,0,,63,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Avinash Punekar,9,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Davide Sabbadin,9,0,0,0,,798,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Alice Douangamath,9,0,0,0,,24,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ramya Rajan,9,0,0,0,,116,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nelson Wedin,8,0,0,0,,159,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rick Argonne,8,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matthew Selby,8,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
INSCoV,8,0,0,0,,221,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Scott Henderson,8,0,0,0,,796,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Robert Glen,8,0,0,0,,402,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Micael Rodrigues Cunha,8,0,0,0,,75,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Steffen Glöckner,8,0,0,0,,40,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Wilian Cortopassi,7,0,0,0,,288,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Chase Smith,7,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Stefan Siemann,7,0,0,0,,87,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Pedro Silva,7,0,0,0,,23,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Fabian Rauscher,7,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Franco Vairoletti,7,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Demetri Moustakas,7,0,0,0,,154,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Leo Evotec,7,0,0,0,,57,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Adam UCB,7,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sughan Karunakaran,7,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Abhishek Jalan,6,0,0,0,,269,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Heike Schoenherr,6,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Frank Von Delft,6,0,0,0,,113,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Niyaz Zaman,6,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vladas UCB,6,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jiang Yin,6,0,0,0,,13,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Serena Piticchio,5,0,0,0,,90,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Johannes Karges,5,0,0,0,,22,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Christian Becerra,5,0,0,0,,54,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sam Walpole,5,0,0,0,,114,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jasper Shide,5,0,0,0,,240,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Elena De Vita,5,0,0,0,,0,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matthew Cottee,5,0,0,0,,30,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Janine Gray,5,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
John Deadman,5,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Romain Lepage,4,0,0,0,,26,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Weixiao Song,4,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Isabel Rozas,4,0,0,0,,43,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kathleen Frey,4,0,0,0,,18,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nick Bennett,4,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Namso Redne,4,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Teran,4,0,0,0,,67,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Walter Novak,4,0,0,0,,40,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Iftier Rahman,4,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ken Hull,4,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Carlo Matera,4,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Manuel Milla,4,0,0,0,,487,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jack Slater,4,0,0,0,,68,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafat Satec,4,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Emmanuel Rugamba Bitega,4,0,0,0,,110,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Clinton Egbe,4,0,0,0,,91,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rajeshri Karki,4,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Andrew Wabash College,3,0,0,0,,53,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yiannis Sarigiannis,3,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Makayla Patterson,3,0,0,0,,34,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Guzmán Alvarez,3,0,0,0,,188,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ravi Kurukulasuriya,3,0,0,0,,45,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Scott Walker,3,0,0,0,,45,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Joe HillCousins,3,0,0,0,,17,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Philip Mcgilvray,3,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jasper Kyle Catapang,3,0,0,0,,129,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Pa Fronth Nyhus,3,0,0,0,,651,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amir Bitran,3,0,0,0,,285,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Steve Mccloskey,3,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Wesley Slaughter,3,0,0,0,,48,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jonathan Turner,3,0,0,0,,92,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Eric Lakomek,3,0,0,0,,21,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sagar Chittori,3,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Madhusudan Verma,3,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bertalan Juhasz,3,0,0,0,,58,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jigar Paras Sethiya,3,0,0,0,,134,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Paula Andrea Mojica Jiménez,3,0,0,0,,2532,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Cameron Martin,3,0,0,0,,59,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Andrew Harvey,3,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hunter Bates,3,0,0,0,,51,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jordan Scott,3,0,0,0,,32,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matthias Bauer,3,0,0,0,,49,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Zach Hogan,3,0,0,0,,213,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Connor Rotterman,3,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Drew Stanton Wabash College,2,0,0,0,,108,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sebastian Schieferdecker,2,0,0,0,,84,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Geraldo Sartori,2,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bethany Lachele Foley,2,0,0,0,,614,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Andrew Jamison,2,0,0,0,,57,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Austin Chivington,2,0,0,0,,96,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jonathan Ahmet,2,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Zackary Titus,2,0,0,0,,23,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Walter R,2,0,0,0,,38,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Fabian OrozcoLopez,2,0,0,0,,159,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Martin Rees,2,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Michael Medvedev,2,0,0,0,,189,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Victor Lopes Rangel,2,0,0,0,,60,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Dana Ferraris,2,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kenneth Hull,2,0,0,0,,4,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Anushka Upadhyaya,2,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sunil Kumar Bose,2,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Alessio De Simone,2,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark Calmiano,2,0,0,0,,15,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
