,N submissions,N made,N assayed,N crystallised,Mdn shipment date,Mdn N words,Gmean IC50,Min IC50,made-over-submitted %,crystal-over-made %,N IC50 ≤ 50 µM,N IC50 ≤ 20 µM,N IC50 ≤ 1 µM,N IC50 ≤ 0.1 µM,sub50-over-assayed %
Álvaro Lorente Macías,48,6,1,1,2020-06-03 12:00:00,81,,,12±5%,17±15%,0,0,0,0,0±0%
Anthony Sama,41,5,0,1,2020-05-20 00:00:00,13,,,12±5%,20±18%,0,0,0,0,nan±nan%
Anthony Aimon,19,4,0,1,2020-04-22 00:00:00,20,,,21±9%,25±22%,0,0,0,0,nan±nan%
Willem Jespers,5,4,4,1,2020-09-22 00:00:00,60,16.56426125805023,11.3,80±18%,25±22%,4,3,0,0,100±0%
Peter Brown,46,3,0,1,2020-05-07 00:00:00,3,,,7±4%,33±27%,0,0,0,0,nan±nan%
Alexander Minges,13,3,0,1,2020-04-17 00:00:00,0,,,23±12%,33±27%,0,0,0,0,nan±nan%
Gerard Pujadas,7,3,0,1,2020-04-09 00:00:00,508,,,43±19%,33±27%,0,0,0,0,nan±nan%
Robert Glen,16,2,2,1,2021-02-10 12:00:00,10,11.886547017532044,1.42,12±8%,50±35%,1,1,0,0,50±35%
Simon Williams,13,2,1,1,2020-05-16 12:00:00,43,1.98,1.98,15±10%,50±35%,1,1,0,0,100±0%
Tobias Grabe,7,2,0,1,2020-05-13 12:00:00,28,,,29±17%,50±35%,0,0,0,0,nan±nan%
Vladas UCB,7,1,1,1,2020-12-09 00:00:00,8,1.32,1.32,14±13%,100±0%,1,1,0,0,100±0%
Daniel Flaherty,7,1,0,1,2020-05-07 00:00:00,6,,,14±13%,100±0%,0,0,0,0,nan±nan%
UNK UNK,102,95,0,0,2021-05-26 00:00:00,9,,,93±3%,0±0%,0,0,0,0,nan±nan%
UNK Cyclica,91,89,3,0,2021-05-12 00:00:00,7,,,98±2%,0±0%,0,0,0,0,0±0%
Redesign Science,57,57,56,0,2021-07-28 00:00:00,5,99.50906855707913,99.5,100±0%,0±0%,0,0,0,0,0±0%
William Mccorkindale,103,41,39,0,2021-07-29 00:00:00,6,99.49999999999997,99.5,40±5%,0±0%,0,0,0,0,0±0%
Jarryl D,53,21,18,0,2021-04-29 00:00:00,190,,,40±7%,0±0%,0,0,0,0,0±0%
Gianfranco Lopopolo,95,17,3,0,2020-05-07 00:00:00,40,13.781133639321716,4.35,18±4%,0±0%,3,1,0,0,100±0%
Rodolfo Do Couto Maia,18,16,10,0,2021-05-18 00:00:00,27,,,89±7%,0±0%,0,0,0,0,0±0%
Dana Ferraris,18,15,15,0,2021-09-16 00:00:00,21,,,83±9%,0±0%,0,0,0,0,0±0%
Chris De Graaf,101,13,2,0,2020-05-13 00:00:00,71,30.76068919904104,24.2,13±3%,0±0%,2,0,0,0,100±0%
Juan Salamanca Viloria,19,12,12,0,2020-09-01 00:00:00,233,99.49999999999997,99.5,63±11%,0±0%,0,0,0,0,0±0%
Comp Chem Team,18,8,7,0,2020-07-14 00:00:00,18,,,44±12%,0±0%,0,0,0,0,0±0%
Vijay Shahani,13,6,0,0,2020-04-27 00:00:00,526,,,46±14%,0±0%,0,0,0,0,nan±nan%
Joost Uitdehaag,18,5,0,0,2020-05-13 00:00:00,65,,,28±11%,0±0%,0,0,0,0,nan±nan%
Peihao Zhao,12,5,5,0,2021-07-28 00:00:00,4,,,42±14%,0±0%,0,0,0,0,0±0%
Alexander Metz,9,5,0,0,2020-04-09 00:00:00,165,,,56±17%,0±0%,0,0,0,0,nan±nan%
Agnieszka Bronowska,46,4,1,0,2020-06-02 12:00:00,6,6.679999999999999,6.68,9±4%,0±0%,1,1,0,0,100±0%
Kusuri Murakumo,25,4,0,0,2020-06-01 00:00:00,486,,,16±7%,0±0%,0,0,0,0,nan±nan%
Ian Craig,17,4,0,0,2020-06-24 00:00:00,55,,,24±10%,0±0%,0,0,0,0,nan±nan%
Erik Gilberg,6,4,2,0,2020-06-24 00:00:00,111,,,67±19%,0±0%,0,0,0,0,0±0%
Nimesh Mistry,195,3,0,0,2020-06-01 00:00:00,26,,,2±1%,0±0%,0,0,0,0,nan±nan%
Tamas Szommer,41,3,3,0,2020-05-26 00:00:00,57,40.20000000000001,40.2,7±4%,0±0%,1,0,0,0,33±27%
Mihaela Smilova,35,3,1,0,2020-05-13 00:00:00,31,2.72,2.72,9±5%,0±0%,1,1,0,0,100±0%
Stuart Ward,19,3,3,0,2020-06-16 00:00:00,39,8.608135686662935,3.8,16±8%,0±0%,2,2,0,0,67±27%
Franca Klingler,13,3,0,0,2020-05-26 00:00:00,383,,,23±12%,0±0%,0,0,0,0,nan±nan%
Renato Freitas,6,3,0,0,2020-05-26 00:00:00,56,,,50±20%,0±0%,0,0,0,0,nan±nan%
Jonas Verhellen,158,2,0,0,2020-04-17 00:00:00,54,,,1±1%,0±0%,0,0,0,0,nan±nan%
Marcel Jaspars,20,2,2,0,,319,,,10±7%,0±0%,0,0,0,0,0±0%
Austin Clyde,18,2,0,0,2020-06-16 12:00:00,65,,,11±7%,0±0%,0,0,0,0,nan±nan%
Patrick Killoran,17,2,0,0,2020-04-13 00:00:00,12,,,12±8%,0±0%,0,0,0,0,nan±nan%
Khriesto Shurrush,2,2,2,0,,2,,,100±0%,0±0%,0,0,0,0,0±0%
Alfie Brennan,88,1,1,0,2021-08-11 00:00:00,45,0.101,0.101,1±1%,0±0%,1,1,1,0,100±0%
Arindam Talukdar,66,1,0,0,2020-07-08 00:00:00,30,,,2±2%,0±0%,0,0,0,0,nan±nan%
Jarvist Moore Frost,50,1,0,0,2020-05-20 00:00:00,366,,,2±2%,0±0%,0,0,0,0,nan±nan%
Nicholas Kindon,37,1,0,0,2020-05-20 00:00:00,80,,,3±3%,0±0%,0,0,0,0,nan±nan%
Indira Sen,27,1,0,0,2020-05-20 00:00:00,24,,,4±4%,0±0%,0,0,0,0,nan±nan%
Ruth Brenk,27,1,1,0,2020-04-27 00:00:00,570,78.50000000000003,78.5,4±4%,0±0%,0,0,0,0,0±0%
Kristijan Vukovic,25,1,0,0,2021-05-26 00:00:00,163,,,4±4%,0±0%,0,0,0,0,nan±nan%
Paul Gehrtz,24,1,1,0,2021-02-17 00:00:00,48,,,4±4%,0±0%,0,0,0,0,0±0%
Rainer Wilcken,19,1,0,0,2020-05-26 00:00:00,72,,,5±5%,0±0%,0,0,0,0,nan±nan%
Kim Tai Tran,16,1,0,0,2020-04-27 00:00:00,34,,,6±6%,0±0%,0,0,0,0,nan±nan%
Swarnendu Sasmal,16,1,0,0,2020-05-20 00:00:00,4,,,6±6%,0±0%,0,0,0,0,nan±nan%
Frank Von Delft,16,1,1,0,2020-11-25 00:00:00,104,4.76,4.76,6±6%,0±0%,1,1,0,0,100±0%
Casper Steinmann,14,1,0,0,2020-06-30 00:00:00,211,,,7±7%,0±0%,0,0,0,0,nan±nan%
Paul Brear,13,1,1,0,2020-05-13 00:00:00,9,1.89,1.89,8±7%,0±0%,1,1,0,0,100±0%
Faraz Shaikh,10,1,0,0,2020-06-01 00:00:00,0,,,10±9%,0±0%,0,0,0,0,nan±nan%
Martin Mcphillie,7,1,0,0,2020-04-09 00:00:00,82,,,14±13%,0±0%,0,0,0,0,nan±nan%
Luis Antunes,6,1,0,0,2020-05-26 00:00:00,314,,,17±15%,0±0%,0,0,0,0,nan±nan%
Neha Rana,6,1,1,0,2020-05-13 00:00:00,220,37.400000000000006,37.4,17±15%,0±0%,1,0,0,0,100±0%
Faraz Mohammadali Shaikh,6,1,0,0,2020-05-26 00:00:00,163,,,17±15%,0±0%,0,0,0,0,nan±nan%
Serillon Dylan,4,1,0,0,2020-05-13 00:00:00,71,,,25±22%,0±0%,0,0,0,0,nan±nan%
Hannah Stewart,4,1,0,0,2020-04-17 00:00:00,31,,,25±22%,0±0%,0,0,0,0,nan±nan%
Anton Hamann,3,1,0,0,2020-05-26 00:00:00,85,,,33±27%,0±0%,0,0,0,0,nan±nan%
Antonio Fernandez,3,1,0,0,2020-05-20 00:00:00,14,,,33±27%,0±0%,0,0,0,0,nan±nan%
Tomas Vojkovsky,3,1,0,0,2020-04-09 00:00:00,98,,,33±27%,0±0%,0,0,0,0,nan±nan%
Trippier Lab,3,1,0,0,2020-04-27 00:00:00,7,,,33±27%,0±0%,0,0,0,0,nan±nan%
Tim Rooney,2,1,0,0,2020-06-30 00:00:00,49,,,50±35%,0±0%,0,0,0,0,nan±nan%
Gabriel NavarreteVazquez,2,1,0,0,2020-05-13 00:00:00,65,,,50±35%,0±0%,0,0,0,0,nan±nan%
Sadit Joarder,312,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Julien Hazemann,157,0,0,0,,898,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Njabulo Gumede,131,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Benjamin Brown,124,0,0,0,,471,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Keith Davies,124,0,0,0,,111,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sidney Elmer,93,0,0,0,,153,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Abintha SATEC,88,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
John Thurmond,73,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bruce Milne,67,0,0,0,,294,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kovalenko Sergiy Mykolayovych,56,0,0,0,,86,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Marcos Santana,55,0,0,0,,68,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vidya Desai,54,0,0,0,,48,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sally Mcgrath,43,0,0,0,,49,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ashvethaa Rameshkumar,40,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Will Poole,39,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Lynda Brown,36,0,0,0,,261,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafał Madaj,34,0,0,0,,18,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Charlie Nichols,33,0,0,0,,226,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Arijit Roy,33,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vladimiras Oleinikovas,31,0,0,0,,13,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ahnaf Khan,31,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Thomas Baikstis,30,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Mann,30,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yoishik Rakshit,25,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Computational Chemistry,22,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sean Mckenna,21,0,0,0,,15,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Daniel Cox,20,0,0,0,,107,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mher FAST,20,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Doug Orsi,20,0,0,0,,1,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Simon Wheeler,19,0,0,0,,23,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sandeep Reddy Kandukuri,18,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Lauren Reid,18,0,0,0,,22,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Huber Simon,16,0,0,0,,86,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amit Vernekar,16,0,0,0,,102,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Davide Cazzola,16,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ashim Kumar Dubey,16,0,0,0,,312,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jagadeesh Prathap Kilaru,15,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Janina Sprenger,14,0,0,0,,619,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mussa Quareshy,14,0,0,0,,372,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vikas Sikervar,13,0,0,0,,257,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Selena and Mark University of Leeds,13,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Clinton Threlfall,13,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bogdan Zagribelnyy,13,0,0,0,,219,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Liz Morris,13,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Cheuk Hei Justin Tam,12,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafat Kabir,12,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ho Leung Ng,12,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Benzies,12,0,0,0,,45,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
K Takahashi,12,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark Pickworth,12,0,0,0,,238,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Harriet StanwayGordon,12,0,0,0,,39,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Robert Quinlan,12,0,0,0,,96,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Olexandr Isayev,11,0,0,0,,52,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Yun Lyna Luo,11,0,0,0,,963,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Pramudito Emirald Sugiri,11,0,0,0,,1,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ravikumar Ramlu Vidule,11,0,0,0,,35,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ritabrata Maiti,11,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Fawziyah Valli,10,0,0,0,,87,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Lynda University of Southampton,10,0,0,0,,262,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Keith Andrews,10,0,0,0,,77,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amy Knowles,10,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vamsi Krishna Gurram,10,0,0,0,,260,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
MElizabeth Sobhia,10,0,0,0,,81,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Robbie Mcilwaine,10,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mangala Phadte,10,0,0,0,,71,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
John Uni of Sussex,9,0,0,0,,104,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Alice Douangamath,9,0,0,0,,24,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Selena Mark,9,0,0,0,,63,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Volkamer Lab,9,0,0,0,,166,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ryan Gerrard,9,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Emiel Dobbelaar,9,0,0,0,,562,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jokin Carrillo Arregui,9,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Avinash Punekar,9,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Davide Sabbadin,9,0,0,0,,798,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ramya Rajan,9,0,0,0,,116,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Timo Poikola,8,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rick Argonne,8,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jurica Novak,8,0,0,0,,66,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matthew Selby,8,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
INSCoV,8,0,0,0,,221,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nelson Wedin,8,0,0,0,,159,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Scott Henderson,8,0,0,0,,796,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Steffen Glöckner,8,0,0,0,,40,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Micael Rodrigues Cunha,8,0,0,0,,75,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Wilian Cortopassi,7,0,0,0,,288,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Pedro Silva,7,0,0,0,,23,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Franco Vairoletti,7,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Chase Smith,7,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Adam UCB,7,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Stefan Siemann,7,0,0,0,,87,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ryan Noorbehesht,7,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Demetri Moustakas,7,0,0,0,,154,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
John Sussex University,7,0,0,0,,87,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Teresa Augustin,7,0,0,0,,109,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Fabian Rauscher,7,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Leo Evotec,7,0,0,0,,57,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sughan Karunakaran,7,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Abhishek Jalan,6,0,0,0,,269,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Niyaz Zaman,6,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Madhusudan Verma,6,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Heike Schoenherr,6,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jiang Yin,6,0,0,0,,13,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vladimir Vinnikov,6,0,0,0,,4,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Janine Gray,5,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
John Deadman,5,0,0,0,,70,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Elena De Vita,5,0,0,0,,0,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sam Walpole,5,0,0,0,,114,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Christian Becerra,5,0,0,0,,54,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Luke Peacock,5,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Johannes Karges,5,0,0,0,,22,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matthew Cottee,5,0,0,0,,30,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jasper Shide,5,0,0,0,,240,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Serena Piticchio,5,0,0,0,,90,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nicolas Bruttin,4,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Manuel Milla,4,0,0,0,,487,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Iftier Rahman,4,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Clinton Egbe,4,0,0,0,,91,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Isabel Rozas,4,0,0,0,,43,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kathleen Frey,4,0,0,0,,18,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rafat Satec,4,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Frank Von Deft,4,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Emmanuel Rugamba Bitega,4,0,0,0,,110,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
David Teran,4,0,0,0,,67,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Weixiao Song,4,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Micael Davi Lima De Oliveira,4,0,0,0,,82,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Namso Redne,4,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Romain Lepage,4,0,0,0,,26,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ken Hull,4,0,0,0,,3,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jack Slater,4,0,0,0,,68,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Walter Novak,4,0,0,0,,40,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nicholas Balasus,4,0,0,0,,41,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rajeshri Karki,4,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nick Bennett,4,0,0,0,,5,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Carlo Matera,4,0,0,0,,25,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jonathan Liu,3,0,0,0,,6,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sagar Chittori,3,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Cameron Martin,3,0,0,0,,59,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Anuj Ghimirey,3,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
