,term,N,N_ordered,N_not_ordered,N_made,N_not_made,N_assayed,N_not_assayed,N_crystallised,N_not_crystallised,freq_ordered (of total),freq_made (of total),freq_assayed (of total),freq_crystallised (of total),freq_made (of ordered),freq_assayed (of made),freq_crystallised (of made),fisher_p_ordered,χ2_p_ordered,fisher_p_made,χ2_p_made,fisher_p_assayed,χ2_p_assayed,fisher_p_crystallised,χ2_p_crystallised,log2_freq_ordered (of total),log2_freq_made (of total),log2_freq_assayed (of total),log2_freq_crystallised (of total),log2_freq_made (of ordered),log2_freq_assayed (of made),log2_freq_crystallised (of made)
10,ethylamine,11,1.0,10.0,1.0,10.0,1.0,10.0,0.0,11.0,0.0909,0.0909,0.0909,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.4209769685196214,0.015959178679659833,0.04350163863658642,-inf,0.4375255419036754,0.027674958442848226,-inf
11,structure,4884,300.0,4584.0,219.0,4665.0,218.0,4666.0,27.0,4857.0,0.0614,0.0448,0.0446,0.0055,0.73,0.9954,0.1233,2.6449613345117664e-29,0.0,3.930010792917274e-23,0.0,5.800390245791719e-22,0.0,3.9136926308448756e-10,0.0,-0.987018607343549,-1.004822383456843,-0.9837349456372158,-1.6195197227575246,-0.01650608899103216,0.021023250570418327,-0.6131568762722572
12,x0072,227,31.0,196.0,22.0,205.0,22.0,205.0,3.0,224.0,0.1366,0.0969,0.0969,0.0132,0.7097,1.0,0.1364,0.544793736948879,0.0,0.7271756340883905,0.0,0.6398275721694732,0.0,1.0,0.0,0.16662831557636193,0.10817554990063387,0.1357180098575605,-0.3564853169237307,-0.057193246643057846,0.027674958442848226,-0.46748603165092417
13,x0387,80,12.0,68.0,12.0,68.0,12.0,68.0,1.0,79.0,0.15,0.15,0.15,0.0125,1.0,1.0,0.0833,0.4997719859927198,0.0,0.12392902378480128,0.0,0.08582926888987849,0.0,1.0,0.0,0.30163333266951475,0.738569479868796,0.7661119398257226,-0.43509515162009704,0.4375255419036754,0.027674958442848226,-1.1789412753095487
14,maybe,74,9.0,65.0,6.0,68.0,6.0,68.0,0.0,74.0,0.1216,0.0811,0.0811,0.0,0.6667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6372248216659784,0.0,-0.0011859392701429063,-0.1486192012971741,-0.12107674134024743,-inf,-0.14736482586874528,0.027674958442848226,-inf
15,merge,362,52.0,310.0,21.0,341.0,21.0,341.0,7.0,355.0,0.1436,0.058,0.058,0.0193,0.4038,1.0,0.3333,0.26346691555263657,0.0,0.058153634373313424,0.0,0.06980009076433855,0.0,0.6787068724160299,0.0,0.23872658110932307,-0.6322682154995126,-0.604725755542586,0.19157760098589646,-0.8707616423143008,0.027674958442848226,0.8214916414351515
16,via,274,66.0,208.0,60.0,214.0,60.0,214.0,9.0,265.0,0.2409,0.219,0.219,0.0328,0.9091,1.0,0.15,4.233586666454259e-06,0.0,2.1262660586362982e-08,0.0,9.708088953616675e-09,0.0,0.05997313348144533,0.0,0.9851052255247423,1.2845378489740884,1.3120803089310151,0.9566725683358996,0.30003644503201493,0.027674958442848226,-0.3303671752918534
17,heterocycle,140,7.0,133.0,5.0,135.0,5.0,135.0,0.0,140.0,0.05,0.0357,0.0357,0.0,0.7143,1.0,0.0,0.01543675650068033,0.0,0.03249197298170673,0.0,0.044206949101786616,0.0,0.1785634076019339,0.0,-1.2833291680516412,-1.3323970414853474,-1.304854581528421,-inf,-0.04787243165428377,0.027674958442848226,-inf
18,explore,215,33.0,182.0,32.0,183.0,32.0,183.0,0.0,215.0,0.1535,0.1488,0.1488,0.0,0.9697,1.0,0.0,0.21735345762126285,0.0,0.013969439488982296,0.0,0.00947940625310331,0.0,0.053488699147475095,0.0,0.3349094875438133,0.726981505593584,0.7545239655505107,-inf,0.3931359309601803,0.027674958442848226,-inf
19,pockets,189,26.0,163.0,20.0,169.0,20.0,169.0,1.0,188.0,0.1376,0.1058,0.1058,0.0053,0.7692,1.0,0.05,0.5804157561623843,0.0,0.4491096173239931,0.0,0.44293788309235305,0.0,0.3812803843028517,0.0,0.17715130198836965,0.23494660659957853,0.26248906655650533,-1.672958981718985,0.058956209694122984,0.027674958442848226,-1.9153296760130094
20,fragalysis,69,5.0,64.0,4.0,65.0,3.0,66.0,4.0,65.0,0.0725,0.058,0.0435,0.058,0.8,0.75,1.0,0.3471345682781031,0.0,0.5225328470701156,0.0,0.2811512164669818,0.0,0.03473027883247516,0.0,-0.7472762678114316,-0.6322682154995126,-1.0197632548214302,1.7790296537327503,0.11559744701631311,-0.3873625408359955,2.4065984188743528
21,observation,12,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6317147149428632,0.0,0.6158796510291435,0.0,0.6160242222883743,0.0,1.0,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf
22,overlap,180,36.0,144.0,16.0,164.0,16.0,164.0,2.0,178.0,0.2,0.0889,0.0889,0.0111,0.4444,1.0,0.125,0.010975188562473846,0.0,1.0,0.0,0.8956564434272273,0.0,0.7726815306014034,0.0,0.7166708319483588,-0.01613769668467711,0.011404763272249343,-0.6064635699320781,-0.732543736256682,0.027674958442848226,-0.5934015811256471
23,functionalities,23,1.0,22.0,1.0,22.0,1.0,22.0,0.0,23.0,0.0435,0.0435,0.0435,0.0,1.0,1.0,0.0,0.5081685295238355,0.0,0.7171988759859491,0.0,0.7174115429728312,0.0,1.0,0.0,-1.4842418619776379,-1.0473057147783567,-1.0197632548214302,-inf,0.4375255419036754,0.027674958442848226,-inf
24,fragment,5660,420.0,5240.0,311.0,5349.0,310.0,5350.0,129.0,5531.0,0.0742,0.0549,0.0548,0.0228,0.7405,0.9968,0.4148,1.2778409831315788e-19,0.0,4.541873428213367e-15,0.0,4.6636228236488157e-14,0.0,0.008773680432661092,0.0,-0.7138380760929249,-0.7115149665092486,-0.6866027625969937,0.4320105778825576,0.004097182530436096,0.023050931917400944,1.1370862181381292
25,introduction,38,15.0,23.0,13.0,25.0,13.0,25.0,4.0,34.0,0.3947,0.3421,0.3421,0.1053,0.8667,1.0,0.3077,0.0003876222001426826,0.0,0.00020081207246746476,0.0,0.00016873609103808094,0.0,0.0053787256817049555,0.0,1.697427351179375,1.9280250832534525,1.9555675432103792,2.639410284743533,0.2311301516399977,0.027674958442848226,0.7061947676584481
26,aromatic,1059,45.0,1014.0,23.0,1036.0,23.0,1036.0,4.0,1055.0,0.0425,0.0217,0.0217,0.0038,0.5111,1.0,0.1739,3.102790098412509e-15,0.0,8.533787541092195e-17,0.0,3.53981352809971e-16,0.0,0.0002849362270117698,0.0,-1.517794421688664,-2.050626073069968,-2.023083613113041,-2.1529519228385987,-0.5307969616455646,0.027674958442848226,-0.11707174336850941
27,chloro,1418,148.0,1270.0,73.0,1345.0,72.0,1346.0,19.0,1399.0,0.1044,0.0515,0.0508,0.0134,0.4932,0.9863,0.2603,0.09478266500369754,0.0,1.7291344131077317e-06,0.0,2.37541888585071e-06,0.0,0.3824580195499195,0.0,-0.22120745614384388,-0.8037486834438665,-0.7959501587853549,-0.3347902458244118,-0.5822297532429349,0.007773397260639598,0.46484563572901566
28,substituent,941,65.0,876.0,47.0,894.0,47.0,894.0,9.0,932.0,0.0691,0.0499,0.0499,0.0096,0.7231,1.0,0.1915,3.952190658922134e-06,0.0,3.788409222996798e-05,0.0,7.232348385877746e-05,0.0,0.10938005867589547,0.0,-0.8165715523254699,-0.8492813001771867,-0.82173884022026,-0.8159169355610281,-0.030207376723110618,0.027674958442848226,0.022014716137222817
29,molecule,4594,241.0,4353.0,200.0,4394.0,199.0,4395.0,33.0,4561.0,0.0525,0.0435,0.0433,0.0072,0.8299,0.995,0.165,2.7129931018797494e-38,0.0,1.4466530269993964e-23,0.0,1.7191871135584924e-22,0.0,5.029506341752034e-07,0.0,-1.2129398401602434,-1.0473057147783567,-1.0264116308307958,-1.230954434839872,0.16853495432440427,0.020443389211772377,-0.19286365154191834
30,overlay,127,30.0,97.0,23.0,104.0,23.0,104.0,9.0,118.0,0.2362,0.1811,0.1811,0.0709,0.7667,1.0,0.3913,0.0027442442723382707,0.0,0.004143142434320607,0.0,0.0037670276541486086,0.0,0.000556642477648169,0.0,0.9566797966834288,1.0103935254357206,1.0379359853926475,2.068762380957332,0.05425962685994627,0.027674958442848226,1.0529454342256976
31,x1093,340,27.0,313.0,25.0,315.0,25.0,315.0,7.0,333.0,0.0794,0.0735,0.0735,0.0206,0.9259,1.0,0.28,0.03285822071388814,0.0,0.38526935033929954,0.0,0.4368787943586271,0.0,0.5260427104921994,0.0,-0.6161182555707706,-0.2905768657907206,-0.26303440583379395,0.2856210909010343,0.3264538334882395,0.027674958442848226,0.5700971511572325
32,x0995,1422,39.0,1383.0,24.0,1398.0,24.0,1398.0,9.0,1413.0,0.0274,0.0169,0.0169,0.0063,0.6154,1.0,0.375,4.694542393519684e-30,0.0,5.294882690000778e-26,0.0,3.4818760182758565e-25,0.0,0.001159374408762866,0.0,-2.151081369753202,-2.411297869232263,-2.3837554092753366,-1.4235995127822678,-0.2628781093122295,0.027674958442848226,0.9915609195955091
33,merging,384,63.0,321.0,52.0,332.0,52.0,332.0,4.0,380.0,0.1641,0.1354,0.1354,0.0104,0.8254,1.0,0.0769,0.03754434689884947,0.0,0.008303514345944833,0.0,0.005949087605197555,0.0,0.42162824965752654,0.0,0.4312460707999843,0.5908347180605495,0.6183771780174762,-0.7004397181410921,0.16069088536126044,0.027674958442848226,-1.29427417271327
34,x0540,103,6.0,97.0,6.0,97.0,6.0,97.0,1.0,102.0,0.0583,0.0583,0.0583,0.0097,1.0,1.0,0.1667,0.08668241209723015,0.0,0.3816671270669405,0.0,0.4774638915318964,0.0,1.0,0.0,-1.0617613795132321,-0.6248252323139508,-0.5972827723570243,-0.8009665940950565,0.4375255419036754,0.027674958442848226,-0.17807557168867977
35,analogues,363,67.0,296.0,58.0,305.0,58.0,305.0,12.0,351.0,0.1846,0.1598,0.1598,0.0331,0.8657,1.0,0.2069,0.002901849889059292,0.0,0.00016428176387338735,0.0,0.00010088598081313882,0.0,0.03876292928084836,0.0,0.6010733849320458,0.8298743874135295,0.8574168473704562,0.9698079705250334,0.22946460649900957,0.027674958442848226,0.13360396918491302
36,substitution,182,59.0,123.0,32.0,150.0,32.0,150.0,9.0,173.0,0.3242,0.1758,0.1758,0.0495,0.5424,1.0,0.2812,2.696569434515682e-09,0.0,0.0010894873366754764,0.0,0.0009332101532780136,0.0,0.005572090395077817,0.0,1.4135549228038131,0.967542049628957,0.9950845095858837,1.550405278684788,-0.44504537450943027,0.027674958442848226,0.5762669183974388
37,based,2714,314.0,2400.0,233.0,2481.0,233.0,2481.0,26.0,2688.0,0.1157,0.0859,0.0859,0.0096,0.742,1.0,0.1116,0.4616726173713833,0.0,0.5573995183353725,0.0,0.7397088559680554,0.0,0.0040282250813796884,0.0,-0.07294030360623847,-0.06566298437598354,-0.038120524419056966,-0.8159169355610281,0.007016633862391379,0.027674958442848226,-0.7569926488459088
38,cyclisation,13,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847187889905277,0.0,0.6181532449373273,0.0,0.6176979757266597,0.0,1.0,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf
39,urea,356,70.0,286.0,46.0,310.0,46.0,310.0,9.0,347.0,0.1966,0.1292,0.1292,0.0253,0.6571,1.0,0.1957,0.000532446974386462,0.0,0.027681627575945895,0.0,0.02077248094190063,0.0,0.21688064840665397,0.0,0.6919341536268522,0.5232130491794778,0.5507555091364044,0.5821141384121259,-0.1682896108595394,0.027674958442848226,0.053314079951707435
40,expansion,307,99.0,208.0,91.0,216.0,91.0,216.0,10.0,297.0,0.3225,0.2964,0.2964,0.0326,0.9192,1.0,0.1099,2.8981149314643276e-14,0.0,1.9402551783268694e-18,0.0,6.606755916535727e-19,0.0,0.07189224272502928,0.0,1.4059699924842506,1.7211524267913867,1.7486948867483132,0.9478487179488932,0.3159762450003391,0.027674958442848226,-0.7791382897258654
41,x0874,51,6.0,45.0,4.0,47.0,4.0,47.0,3.0,48.0,0.1176,0.0784,0.0784,0.0588,0.6667,1.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,0.06226324994510278,0.0,-0.049441107877364124,-0.19746746139923904,-0.16992500144231246,1.79879290855418,-0.14736482586874528,0.027674958442848226,1.991560919595509
42,combining,202,39.0,163.0,33.0,169.0,33.0,169.0,0.0,202.0,0.1931,0.1634,0.1634,0.0,0.8462,1.0,0.0,0.012125173550794253,0.0,0.0027672385938458752,0.0,0.002437391317466407,0.0,0.08389093498132649,0.0,0.666018996236922,0.8620149626312361,0.8895574225881626,-inf,0.19659613271057613,0.027674958442848226,-inf
43,fragments,4471,231.0,4240.0,163.0,4308.0,162.0,4309.0,118.0,4353.0,0.0517,0.0365,0.0362,0.0264,0.7056,0.9939,0.7239,1.456735979139968e-38,0.0,8.893675146120058e-32,0.0,1.4680304139871e-30,0.0,0.00017178831662602962,0.0,-1.2350929823987937,-1.300424651747068,-1.284788958474315,0.6435146830762694,-0.06555199208825357,0.018847567695569684,1.940460740261811
44,by eye,1795,124.0,1671.0,84.0,1711.0,84.0,1711.0,16.0,1779.0,0.0691,0.0468,0.0468,0.0089,0.6774,1.0,0.1905,4.112332217544801e-10,0.0,9.26983588594021e-10,0.0,3.728789515513318e-09,0.0,0.009114118110474193,0.0,-0.8165715523254699,-0.9418125859310427,-0.9142701259741159,-0.9251460053157865,-0.12439456615161713,0.027674958442848226,0.014461321705587981
45,combination,416,27.0,389.0,16.0,400.0,16.0,400.0,1.0,415.0,0.0649,0.0385,0.0385,0.0024,0.5926,1.0,0.0625,0.0007879367998584825,0.0,0.0003161760765111561,0.0,0.00040627146483184114,0.0,0.016298846019908088,0.0,-0.9070387847145899,-1.2234626699321836,-1.1959202099752568,-2.8159169355610283,-0.31734392668449174,0.027674958442848226,-1.593401581125647
46,easy,118,56.0,62.0,34.0,84.0,34.0,84.0,7.0,111.0,0.4746,0.2881,0.2881,0.0593,0.6071,1.0,0.2059,5.094061963130547e-14,0.0,9.183123698723236e-08,0.0,6.067695729419173e-08,0.0,0.005511607455950837,0.0,1.9633829324802197,1.6801766396454232,1.70771909960235,1.8110088582638195,-0.28246837979502004,0.027674958442848226,0.1266141539571576
47,derivatisation,5,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf
48,amide,2168,273.0,1895.0,165.0,2003.0,143.0,2025.0,36.0,2132.0,0.1259,0.0761,0.066,0.0166,0.6044,0.8667,0.2182,0.6250410286191033,0.0,0.05534293976408983,0.0,0.0011969408586176994,0.0,1.0,0.0,0.04894911500528831,-0.24042466201090182,-0.4183126313117047,-0.025840004935259373,-0.28889889248094497,-0.17872043182082928,0.21032142564851072
49,sar,1412,214.0,1198.0,177.0,1235.0,177.0,1235.0,24.0,1388.0,0.1516,0.1254,0.1254,0.017,0.8271,1.0,0.1356,0.005392037187920497,0.0,0.0001535637498471889,0.0,6.256529568716588e-05,0.0,1.0,0.0,0.31694058545736337,0.48014432728759193,0.5076867872445183,0.008511499855517798,0.16365921508557268,0.027674958442848226,-0.4759724975387526
50,aliphatic,72,1.0,71.0,1.0,71.0,1.0,71.0,0.0,72.0,0.0139,0.0139,0.0139,0.0,1.0,1.0,0.0,0.003967552489558191,0.0,0.029529974442888872,0.0,0.029157410275168445,0.0,0.635027270634932,0.0,-3.130172379990221,-2.69323623279094,-2.6656937728340133,-inf,0.4375255419036754,0.027674958442848226,-inf
51,polar,138,6.0,132.0,3.0,135.0,3.0,135.0,0.0,138.0,0.0435,0.0217,0.0217,0.0,0.5,1.0,0.0,0.006600985385711931,0.0,0.004834085717908131,0.0,0.004779288224093502,0.0,0.17804300040125864,0.0,-1.4842418619776379,-2.050626073069968,-2.023083613113041,-inf,-0.5624744580963246,0.027674958442848226,-inf
52,phenyl,240,74.0,166.0,31.0,209.0,31.0,209.0,3.0,237.0,0.3083,0.1292,0.1292,0.0125,0.4189,1.0,0.0968,2.4766940260188974e-10,0.0,0.0741535284447794,0.0,0.05597821667700229,0.0,0.8013781277864482,0.0,1.3410057213934468,0.5232130491794778,0.5507555091364044,-0.43509515162009704,-0.817796668779251,0.027674958442848226,-0.9622507234005022
53,benzyl,61,3.0,58.0,3.0,58.0,3.0,58.0,1.0,60.0,0.0492,0.0492,0.0492,0.0164,1.0,1.0,0.3333,0.15444799251247965,0.0,0.48933109267378,0.0,0.4869109088022474,0.0,1.0,0.0,-1.3065989473744886,-0.8696628001752074,-0.8421203402182809,-0.04332743166410036,0.4375255419036754,0.027674958442848226,0.8214916414351515
54,molecules,4288,189.0,4099.0,156.0,4132.0,155.0,4133.0,27.0,4261.0,0.0441,0.0364,0.0361,0.0063,0.8254,0.9936,0.1731,1.0518033451907406e-47,0.0,6.610969804190281e-31,0.0,1.077979229360678e-29,0.0,6.19487638696014e-08,0.0,-1.464478607156208,-1.3043826653157509,-1.2887798186703496,-1.4235995127822678,0.16069088536126044,0.01841203711388043,-0.12372395130845774
55,superimposing,79,43.0,36.0,28.0,51.0,28.0,51.0,8.0,71.0,0.5443,0.3544,0.3544,0.1013,0.6512,1.0,0.2857,1.2010159291715307e-12,0.0,3.526182619916481e-08,0.0,2.435486061484388e-08,0.0,0.00012006672734265655,0.0,2.1610728680113653,1.978985583040571,2.006528042997498,2.583539022518954,-0.181301853379527,0.027674958442848226,0.5991713602612755
56,different,663,98.0,565.0,79.0,584.0,79.0,584.0,11.0,652.0,0.1478,0.1192,0.1192,0.0166,0.8061,1.0,0.1392,0.08452558418745904,0.0,0.0247784307048567,0.0,0.01645897329318614,0.0,1.0,0.0,0.28031710143242256,0.40699121494771445,0.434533674904641,-0.025840004935259373,0.12655626908854814,0.027674958442848226,-0.43817046482636823
57,crystal,4100,159.0,3941.0,112.0,3988.0,112.0,3988.0,19.0,4081.0,0.0388,0.0273,0.0273,0.0046,0.7044,1.0,0.1696,3.7155914650648484e-54,0.0,2.2452375015319924e-43,0.0,1.043026919221381e-41,0.0,1.2578784089811448e-10,0.0,-1.6492006105266006,-1.7194201645945946,-1.691877704637668,-1.8773174802251715,-0.06800764381456573,0.027674958442848226,-0.15319350611189728
58,structures,3570,163.0,3407.0,116.0,3454.0,115.0,3455.0,19.0,3551.0,0.0457,0.0325,0.0322,0.0053,0.7117,0.9914,0.1638,4.301965271216915e-39,0.0,2.0072434849529545e-31,0.0,1.9533506030097555e-30,0.0,2.548638252290878e-08,0.0,-1.4130630976556589,-1.4678813975986302,-1.4537179674429037,-1.672958981718985,-0.05313331701596939,0.015214122363725704,-0.2033943190340879
59,reactions,162,52.0,110.0,35.0,127.0,35.0,127.0,7.0,155.0,0.321,0.216,0.216,0.0432,0.6731,1.0,0.2,3.0726774842985e-08,0.0,2.1324577356219916e-05,0.0,1.8182127591094292e-05,0.0,0.025224364324768787,0.0,1.399244129295937,1.2646382915363836,1.2921807514933104,1.3540080658812843,-0.13358169631040895,0.027674958442848226,0.08467032398699051
60,formation,1110,120.0,990.0,75.0,1035.0,75.0,1035.0,13.0,1097.0,0.1081,0.0676,0.0676,0.0117,0.625,1.0,0.1733,0.2516804339896192,0.0,0.02017776980531472,0.0,0.029822089320666045,0.0,0.22124561517598096,0.0,-0.1709626449790781,-0.411297869232263,-0.3837554092753364,-0.5305147166987796,-0.24054636320896236,0.027674958442848226,-0.12205802151492683
61,coupling,130,61.0,69.0,38.0,92.0,38.0,92.0,8.0,122.0,0.4692,0.2923,0.2923,0.0615,0.623,1.0,0.2105,6.127853587872557e-15,0.0,1.2502841367382283e-08,0.0,7.86077577957643e-09,0.0,0.002533260733297302,0.0,1.94687384531478,1.7010568082916055,1.7285992682485323,1.863563163944418,-0.24517038973440983,0.027674958442848226,0.15849055727866188
62,readily,180,44.0,136.0,26.0,154.0,26.0,154.0,7.0,173.0,0.2444,0.1444,0.1444,0.0389,0.5909,1.0,0.2692,0.0001336504989517768,0.0,0.0299953553629037,0.0,0.02808417263327232,0.0,0.04012968356902798,0.0,1.0059151171050014,0.6836777213727238,0.7112201813296504,1.2027469087040077,-0.32148855407158605,0.027674958442848226,0.5133487339352205
63,available,2036,149.0,1887.0,103.0,1933.0,103.0,1933.0,9.0,2027.0,0.0732,0.0506,0.0506,0.0044,0.6913,1.0,0.0874,1.448930276555894e-09,0.0,5.734210739170561e-09,0.0,2.0608219156894545e-08,0.0,2.321632186196884e-06,0.0,-0.733413614429686,-0.8291837308201371,-0.8016412708632105,-1.9414478176448868,-0.0950906273385941,0.027674958442848226,-1.109624491174498
64,conception,68,39.0,29.0,24.0,44.0,24.0,44.0,7.0,61.0,0.5735,0.3529,0.3529,0.1029,0.6154,1.0,0.2917,3.834055102986929e-12,0.0,3.380200511560853e-07,0.0,2.4589336683695105e-07,0.0,0.0002862266489183945,0.0,2.236464318189459,1.9728664092652768,2.0004088692222033,2.6061478306117842,-0.2628781093122295,0.027674958442848226,0.6291557102230813
65,x0107,232,38.0,194.0,23.0,209.0,23.0,209.0,10.0,222.0,0.1638,0.0991,0.0991,0.0431,0.6053,1.0,0.4348,0.09417500196071624,0.0,0.6457845431340811,0.0,0.5632997438213289,0.0,0.008800623001681288,0.0,0.4286061889272803,0.14056394167204092,0.16810640162896745,1.3506646228069141,-0.28675220193557643,0.027674958442848226,1.2050222643522126
66,x0748,28,25.0,3.0,11.0,17.0,11.0,17.0,5.0,23.0,0.8929,0.3929,0.3929,0.1786,0.44,1.0,0.4545,3.634225702604177e-11,0.0,0.0002336288096064966,0.0,0.0002003253659274361,0.0,0.00021776838770440362,0.0,2.8751694422528726,2.1277691469442397,2.1553116069011664,3.401636928839039,-0.7468990292337522,0.027674958442848226,1.268950618406373
67,x1382,80,50.0,30.0,33.0,47.0,33.0,47.0,7.0,73.0,0.625,0.4125,0.4125,0.0875,0.66,1.0,0.2121,3.3972585044041873e-16,0.0,1.027279357220949e-10,0.0,6.52780250891385e-11,0.0,0.0007054298458022007,0.0,2.360527021723083,2.198001098506093,2.22554355846302,2.372259770437507,-0.16193652851259596,0.027674958442848226,0.1694149448554585
68,x0104,314,49.0,265.0,26.0,288.0,26.0,288.0,3.0,311.0,0.1561,0.0828,0.0828,0.0096,0.5306,1.0,0.1154,0.12453567701290467,0.0,0.765052778086322,0.0,0.8408191209020385,0.0,0.4986710730762376,0.0,0.35914136926418044,-0.11869034801512196,-0.09114788805819544,-0.8159169355610281,-0.4767778774170784,0.027674958442848226,-0.7086864520296141
69,x0161,136,39.0,97.0,17.0,119.0,17.0,119.0,0.0,136.0,0.2868,0.125,0.125,0.0,0.4359,1.0,0.0,1.4087327019704006e-05,0.0,0.18607260517604246,0.0,0.17937844557046875,0.0,0.17772800144843676,0.0,1.2367158559881763,0.4755350740350022,0.5030775339919288,-inf,-0.7604053492917765,0.027674958442848226,-inf
